ID,location,PropertyType,BHK,price
42244377,Jagatpura,residential house,2.0,15000
41674303,Raja Park,residential house,2.0,28000
42638927,New Atish Market,residential house,4.0,25000
42696203,Sanganer,apartment,3.0,15000
37191875,Nh 8,apartment,3.0,7500
42534641,Kalwar Road,residential house,2.0,90000
41708407,Ajmer Road,apartment,3.0,20000
42033375,Sez,apartment,2.0,15000
28799353,Swej Farm,apartment,4.0,30000
42264257,Agrasen Nagar,residential house,2.0,14000
42581491,Murlipura,apartment,2.0,11000
42571923,Jaisinghpura,villa,3.0,15000
42558459,Shri Gopal Nagar,apartment,2.0,13500
35014073,Vatika Road,villa,3.0,16500
39734039,Sanganer Road,apartment,3.0,13000
42290559,Prithvi Raj Nagar,residential house,1.0,12000
42379527,Jagatpura,builder floor apartment,3.0,14500
42321449,Heerapura,residential house,3.0,11000
20239041,Sanganer Road,apartment,3.0,15000
41714099,Kalwar Road,builder floor apartment,4.0,20000
42383229,Gopal Pura By Pass,residential house,2.0,25000
42071939,Bani Park,residential house,2.0,15000
42367471,Gandhi Path,villa,1.0,12500
41978175,Ajmer Road,apartment,2.0,10000
42292411,Sanganer,residential house,1.0,10000
41572585,Sanganer,apartment,3.0,17000
39927385,Sanganer,residential house,3.0,20000
42469735,Mansarovar Extension,apartment,3.0,17000
35070161,Sirsi Road,apartment,3.0,14000
38447413,Swej Farm,apartment,2.0,20000
12025305,Jagatpura,apartment,2.0,15000
23396093,Ajmer Road,apartment,3.0,15000
42059785,Mahindra World City,apartment,3.0,15000
42418959,Nandpuri,residential house,3.0,22000
42049203,Jagatpura,residential house,3.0,15000
42348397,Sikar Road,residential house,2.0,18000
42073799,Sirsi Road,apartment,3.0,11000
34761149,Ajmer Road,villa,3.0,12000
41921899,Vidyadhar Nagar,apartment,3.0,21000
36391125,Ajmer Road,apartment,3.0,8000
24227711,Ajmer Road,apartment,3.0,9000
42046851,Khatipura,residential house,3.0,35000
42270613,Nandpuri,residential house,5.0,38000
42291475,Vaishali Nagar,residential house,2.0,18000
42100997,Jagatpura,apartment,2.0,15000
41874763,Maharana Pratap Circle Road,apartment,3.0,40000
42300481,Ajmer Road,apartment,3.0,15000
41823373,Ajmer Road,apartment,3.0,14000
34310155,Jaisinghpura,villa,3.0,12000
41748165,Sirsi Road,apartment,3.0,16500
42089447,New Sanganer Road,residential house,1.0,25000
26646555,Ajmer Road,villa,3.0,11396
42014223,Lalarpura,builder floor apartment,4.0,28000
41789173,Ajmer Road,apartment,3.0,11000
33498875,Ajmer Road,apartment,2.0,12000
41774359,Pratap Nagar,residential house,3.0,16000
42727813,Pratap Nagar,residential house,1.0,11000
27694275,Tonk Road,apartment,3.0,40000
42769109,Jagatpura,apartment,3.0,18000
42726489,Jagatpura,apartment,2.0,13000
42054783,Jawahar Circle,residential house,2.0,20000
20608123,Mahatma Gandhi Nagar,apartment,2.0,12000
25067503,Pratap Nagar,apartment,2.0,18000
17696552,Kalwar Road,villa,3.0,12500
35309347,Mangal Vihar,residential house,3.0,18500
42629393,Jawahar Circle,residential house,2.0,20000
42616889,Bindayaka,apartment,2.0,9500
42198899,Goner Road,apartment,2.0,12000
42463887,New Sanganer Road,villa,2.0,21000
34433175,Mansarovar,villa,4.0,130000
42212469,Jp Colony,apartment,2.0,18000
42195111,Saraswati Nagar,residential house,1.0,15000
42334277,Mansarovar,apartment,3.0,16000
42464991,Ajmer Road,apartment,3.0,15000
40555067,Pratap Nagar,residential house,2.0,18000
39799091,Ajmer Road,apartment,2.0,11000
19598265,Chandpol Gate,builder floor apartment,2.0,18000
42887029,Sikar Road,residential house,2.0,11500
41899977,Kalwar Road,villa,3.0,22000
41933601,Shiv Shakti Nagar,apartment,3.0,18000
41778681,Gopalwari,residential house,2.0,12000
41880119,Ajmer Road,villa,2.0,12000
26857379,Jhotwara,residential house,2.0,20000
21295755,Ajmer Road,apartment,3.0,15000
37249197,Omaxe City,residential house,8.0,35000
42774401,Machwa,apartment,3.0,9000
42801895,Malviya Nagar,residential house,3.0,20000
42067683,Benar Road,residential house,2.0,10000
42546217,Niwaru Road,apartment,2.0,12000
31662883,Ajmer Road,apartment,3.0,15000
39363777,Ajmer Road,apartment,3.0,25000
14628893,Ajmer Road,villa,3.0,22000
41681973,Vatika Road,apartment,2.0,10000
41642523,Heerapura,residential house,2.0,15000
41896159,Niwaru Road,service apartment,3.0,9000
42044231,Sachivalaya Nagar,apartment,3.0,18000
41701037,Mansarovar,residential house,2.0,12500
41580383,Kartarpur,residential house,2.0,11000
42792615,Murlipura,residential house,2.0,10000
42783015,Patrakar Colony,apartment,3.0,15000
27585109,Murlipura,builder floor apartment,2.0,8500
42815693,Mansarovar Extension,apartment,1.0,15500
42780015,Vaishali Nagar,apartment,3.0,11500
42802867,Pratap Nagar,residential house,3.0,11000
35901793,Mansarovar,apartment,3.0,16000
